Company,Department,First Name,Last Name,Email,Position,Research Area,Capacity,Final/Taken
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,chad,hodges,chad.hodges@fhstp.ac.at,InstitutsleiterIn,VIS,4,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,danielle,johnson,danielle.johnson@fhstp.ac.at,Junior Researcher,VAI,1,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,kathryn,ryan,kathryn.ryan@fhstp.ac.at,Junior Researcher,DAC,1,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,andrew,hickman,andrew.hickman@fhstp.ac.at,Junior Researcher,HCI,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,wendy,rice,wendy.rice@fhstp.ac.at,Junior ProfessorIn,MP,5,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,diana,foster,diana.foster@fhstp.ac.at,FH-DozentIn,HCI,1,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,joshua,walker,joshua.walker@fhstp.ac.at,Senior akademische Fachkraft,MP,3,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,daniel,graham,daniel.graham@fhstp.ac.at,Junior Researcher,VAI,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,rita,harrell,rita.harrell@fhstp.ac.at,Research Assistant,VIS,0,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,alexander,le,alexander.le@fhstp.ac.at,Junior ProfessorIn,HCI,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,katie,anderson,katie.anderson@fhstp.ac.at,Researcher,SMA,3,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,daniel,burton,daniel.burton@fhstp.ac.at,Junior akademische Fachkraft,AIM,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,christopher,tucker,christopher.tucker@fhstp.ac.at,FH-DozentIn,SMC,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,joseph,davidson,joseph.davidson@fhstp.ac.at,Teaching  & Research Assistant,VAI,0,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,reginald,robinson,reginald.robinson@fhstp.ac.at,Researcher,VAI,3,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,linda,wolfe,linda.wolfe@fhstp.ac.at,FH-DozentIn,VIS,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,amanda,dudley,amanda.dudley@fhstp.ac.at,Junior Researcher,VAI,2,0
